Title:,Back 4 Blood Card Compendium & Codex,,,On Desktop? Check out Filter Views,Note: Versus and Campaign Cards to be separately listed even if they have the same effects,,,
Corruption,Ridden,Mutation,-,Armored Urchins,This subterranean Warped Ridden hurls Urchin Mines that damage and slow Cleaners. Damage the Mines to clear them! Armored (Weakspots are covered by durable Armor.),N/A,,
Corruption,Ridden,Mutation,-,Armored Wailers,This minelayer births Gas Sacs that track any enemies foolish enough to get close. Destory the Gas Sacs before you're overwhelmed. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
Corruption,Ridden,Ridden,-,Armored Walkers,"SWAT armor was meant to protect against bullets, not devil worms. These Ridden are going to be harder to take down.",N/A,-,N/A
Burn,Loot,Burn,Yes,Attachment Scavenger,Team Effects: Increase Attachments spawn this level.,The Collectors (V.1.000.008),Flat,500
Campaign,Offense,Discipline ,Yes,Avenge the Fallen (Martyr),"Team Effects: When you or a teammate becomes incapacitated, all teammates gain 30% Damage, 20% Reload Speed, and Unlimited Ammo for 10 Seconds.",Fort Hope,-,N/A
Corruption ,Finale,Finale,-,Awaiting Our Justice,Locate the Truck and escape through the mines. Act 5 Finale,N/A,-,500
Campaign,Defense,Brawn,No,Battle Lust (Triumph),Melee Kills heal 1 health and 0.125 Trauma.,Available from start,-,N/A
Swarm,Defense,Brawn,No,Battle Lust (Triumph),Melee Kills heal 1 health and 0.125 Trauma.,Available from Start,-,
Campaign,Talent,Fortune,No,Belligerent,Gain a stacking 4% increase to Damage each time a horde is called up to 6 stacks (30 second cooldown between Hordes). Stacks are reset when a Cleaner is incapped or killed.,Duffel Bag Reward / Children of the Worm Expansion,-,500
Campaign,Utility,Fortune ,No,Belt Clip,"+1 Quick Item Inventory, +10% Use Speed",Roving Merchants: Liberators,-,500
Swarm,Utility,Fortune ,No,Belt Clip,"+1 Quick Item Inventory, +10% Use Speed",Available from Start,Melee,500
Campaign,Offense ,Brawn,No,Berserker,"Each Melee kill grants 5% Melee Damage, 5% Melee Speed, and 5% Move Speed for 4 seconds.",Accomplishment,Melee,N/A
Swarm,Offense ,Brawn,No,Berserker,"Each Melee kill grants 5% Melee Damage, 5% Melee Speed, and 5% Move Speed for 4 seconds.",Available from Start,-,N/A
Corruption,Event,Character,-,Biohazard,Ridden deal 25% extra damage. 3 Temporary Health granted by kills. 100% Team Bolstered Health. Temporary Health decay rate increased by 200%. Fog and Kills restore some Temporary Health.,N/A,-,N/A
Corruption,Ridden,Ridden,-,Blighted Ridden,"A Mutation has turned the Ridden blood into acid, they leave behind pools of caustic acid on death. (Pool Duration: 6 Seconds)",N/A,-,N/A
Corruption,Ridden,Ridden,-,Blitzing,This is what remains of the living. Aim for the head to put them down quickly.,N/A,-,N/A
Corruption,Collect,Challenge,-,Blood Samples,Find and bring the Specimen Container to the end of the level to earn +500 Copper,N/A,-,N/A
Corruption,Survive,Challenge,-,Blood Samples - Elite,Find and bring the Specimen Container to the end of the level without any Cleaners being incapacitated to earn: +500 Copper,N/A,-,N/A
Corruption,Survive,Challenge,-,Blood Samples - Elite (+),"Find and bring the Specimen Container to the end of the level without any Cleaners being incapacitated to earn: +500 Copper, +10 Bonus Supply Points",N/A,-,N/A
Corruption,Survive,Challenge,-,Blood Samples - Survival,Find and bring the Specimen Container to the end of the level with all 4 Cleaners alive to earn: +500 Copper,N/A,-,N/A
Corruption,Survive,Challenge,-,Blood Samples - Survival (+),"Find and bring the Specimen Container to the end of the level with all 4 Cleaners alive to earn: +500 Copper, +10 Bonus Supply Points",N/A,-,N/A
Corruption,Collect,Challenge,-,Blood Samples (+),"Find and bring the Specimen Container to the end of the level to earn +500 Copper, +Bonus Supply Points",N/A,-,N/A
Corruption ,Finale,Finale,-,Blue Dog Hollow,Collapse the mine to cutoff the source of the Ridden. Act 1 Finale,N/A,-,500
Campaign,Defense,Brawn,No,Body Armor,+20% Trauma Resistance,Grant's Brew House,-,500
Swarm,Defense,Brawn,No,Body Armor,+20% Trauma Resistance,Available from start,-,500
Campaign,Talent,Brawn,No,Bodyguard,"When a teammate within 5 meters is attacked, you instead recieve 75% of that damage. Can trigger once every 5 seconds.",The Collectors (Totem Track),Explosive,500
Campaign,Offense ,Brawn,Yes,Bomb Squad (Sapper),"1 Additional Frag Grenade spawns in each map. Team Effects: +25% Explosive Damage, +20% Explosive Resistance",The Stilts (3),-,N/A
Corruption ,Boon,Trial of the Worm,-,Bonus Agility,"Swap Speed, ADS Speed, and Reload Speed are increased by (25%)",N/A,-,N/A
Corruption ,Boon,Trial of the Worm,-,Bonus Currency,"Additional Copper spawns in the environment",N/A,-,N/A
Corruption ,Boon,Trial of the Worm,-,Bonus Damage,"Damage dealt to Ridden is increased by 25%",N/A,-,N/A
Corruption,Boon,Trial of the Worm,-,Bonus Intel,More Intel spawns in the environment.,N/A,-,N/A
Corruption ,Boon,Trial of the Worm,-,Bonus Life and Revive Speed,All Cleaners receive 1 Extra Life and have 100% faster Revive Speed,N/A,-,N/A
Corruption ,Boon,Trial of the Worm,-,Bonus Max Ammo,Max Ammo is increased by (25%),N/A,-,N/A
Corruption ,Boon,Trial of the Worm,-,Bonus Trauma Resistance,Trauma Resistance is increased by (25%),N/A,-,500
Corruption ,Kill,Boss,-,Boss Mutation,Defeat the Boss and complete the level to earn +500 Copper.,N/A,-,500
Corruption ,Kill,Boss,-,Boss Mutation (+),Defeat the Boss and complete the level to earn +500 Copper. +Bonus Supply Points.,N/A,-,500
Corruption ,Survive,Boss,-,Boss Mutation (Elite),Defeat the Boss and complete the level without any cleaners being incapacitated to earn +500 Copper.,N/A,-,500
Corruption ,Survive,Boss,-,Boss Mutation (Elite+),Defeat the Boss and complete the level without any cleaners being incapacitated to earn +500 Copper. +Bonus Supply Points.,N/A,-,500
Corruption ,Event,Boss,-,Boss Mutation (No Hope),"Beware, a dangerous Boss Mutation lurks nearby. Roaming Boss Card in No Hope Difficulty.",N/A,-,N/A
Corruption ,Survive,Boss,-,Boss Mutation (Survival),Defeat the Boss and complete the level with all cleaners alive to earn +500 Copper.,N/A,-,500
Corruption ,Survive,Boss,-,Boss Mutation (Survival+),Defeat the Boss and complete the level with all cleaners alive to earn +500 Copper. +Bonus Supply Points.,N/A,-,N/A
Campaign,Utility,Fortune,No (Yes),Bounty Hunter (Trophy Hunter),"When you or your team kills a Mutation, gain 10 Copper (Up to 300 per Level).",The Crow's Nest (4) / Bot Deck,-,N/A
Campaign,Defense,Fortune ,Yes,Box O' Bags,-10% Health. Team Effects: +1 Team Support Inventory,Grant's Brew House (2),-,500
Campaign,Talent,Brawn,No,Bravado,"When a teammate within 15 meters recieves trauma damage, gain 15% of that amount as Trauma Health.",The Collectors (Tunnels of Terror),-,N/A
Campaign ,Offense,Reflex,No,Brazen,"+15% Melee Stamina Efficiency, +20% Melee Attack speed, +15% Bow Stamina Efficiency, +20% Bow Attack Speed",Bridge Town (2),-,500
Swarm,Offense,Reflex,No,Brazen,"+15% Melee Stamina Efficiency, +20% Melee Attack speed, +15% Bow Stamina Efficiency, +20% Bow Attack Speed",Available from start,-,N/A
Corruption,Event,Character,-,Break Time,"Health set to 60. Regenerate 10 Health per second. +100% Trauma Resistance, +2 Lives, -150% Incap Bleed Damage",N/A,-,500
Corruption,Ridden,Boss infected,-,Breaker,"Rumor is, some Cleaners beat up a Breaker, but didn't finish it.",N/A,-,
Campaign,Mobility,Reflex,No,Breakout,Breakout: Hold [E/SQUARE/X] to free yourself from Grabs. +50% Breakout Cooldown Reduction (Base 60 seconds). 1 Second to release,Knuckle House,-,N/A
Swarm,Utility,Reflex,No,Breakout ,Breakout: Hold [E/SQUARE/X] to free yourself from Grabs. +66% Breakout Cooldown Reduction (Base 60 seconds). 1 Second to release,Available from start,-,
Campaign,Offense ,Brawn,No,Broadside,"Precision Kills have a 20% chance to cause Ridden to explode, dealing 15 damage to other Ridden with 4 meters.",The Furnace (2),-,500
Corruption,Ridden,Mutation,-,Bruisers,Bruisers can take a lot of punishment. Keep moving and don't let them get close.,N/A,-,N/A
Campaign,Defense,Brawn,No,Buckshot Bruiser,"When using Shotguns, gain 0.25 Temporary Health for each pellet that hits.",The Furnace ,-,N/A
Swarm,Defense,Brawn,No,Buckshot Bruiser,"When using Shotguns, gain 0.25 Temporary Health for each pellet that hits.",Available from Start,Flat,500
Campaign,Defense,Brawn,No,Canned Goods,"+45 Health, -25% Stamina",Grant's Brew House (2),Flat,N/A
Cleaner Skill,All,Ability,No,CARNAGE!,Several live Frag Grenades Appear.,"""Prophet"" Dan Ability",-,N/A
Corruption,Event,Environment,-,Cave In,Rocks line the ceiling. Watch out when the ground starts shaking!,N/A,,
Food,Stat,Reflex,No,Cereal,"Gain 5% increased Reload, Melee, and Swap Speed until the end of the map.",Find in Game,-,500
Campaign,Defense,Discipline ,No,Charitable Soul (Caretake),Healing a teammate also applies 50% of the effect to you.,The Clinic (2),-,500
Swarm,Defense ,Discipline ,No,Charitable Soul (Caretake),Healing a teammate also applies 50% of the effect to you.,Available from start,-,N/A
Corruption,Ridden,Ridden,-,Charred Ridden,These burning Ridden ignore the flames entirely. Keep your distance or burn alive. (Fire Effect Radius: 1.75m),N/A,-,500
Campaign,Offense ,Brawn,No,Chemical Courage,Pain meds you apply also grant +25% Damage for 60 Seconds.,Paul's Alley (3),-,N/A
Swarm,Offense ,Brawn,No,Chemical Courage,Pain meds you apply also grant +25% Damage for 60 Seconds.,Available from start,-,500
Corruption,Event,Trap,-,Chronic Injuries,"Trauma Resistance is reduced by 20%, Damage Resistance is reduced by 5%. Warped Chest Team Debuff",N/A,-,N/A
Campaign,Utility,Brawn,No,Cleansing Fire,"Gain a stacking +5% Damage Resistance every second you're on fire, for a maximum 5 stacks lasting for 15 seconds. Fire removes most negative status effects. +40% Fire Resistance",Duffel Bag Reward / River of Blood Expansion,Bullet,500
Campaign,Utility ,Reflex,No,Cocky,"+75% Weapon Swap Speed, When you take Damage your Accuracy is reduced for 3 Seconds.",Knuckle House (2),-,500
Campaign,Mobility,Discipline ,No,Cold Brew Coffee,"+15% Reload Speed, +25% Aim Speed, +25% Weapon Swap Speed, +25% Use Speed",Knuckle House (3),Mutation,500
Swarm,Mobility,Discipline ,No,Cold Brew Coffee,"+15% Reload Speed, +25% Aim Speed, +25% Weapon Swap Speed, +25% Use Speed",Available from start,Mutation,N/A
Campaign,Offense ,Discipline,No,Combat Knife,Turns your Bash into a Knife that counts as a Melee weapon.,Starter Deck,-,500
Swarm,Offense ,Discipline,No,Combat Knife,Turns your Bash into a Knife that counts as a Melee weapon.,Available from Start,-,N/A
Campaign,Defense,Reflex,No,Combat Medic,+50% Use Speed. Teammates recover an additional 20 Health when you revive them.,The Furnace (2),-,N/A
Swarm,Defense,Reflex,No,Combat Medic,+50% Use Speed. Teammates recover an additional 20 Health when you revive them.,Available from start,-,N/A
Campaign,Offense,Discipline,No,Combat Training,"+5% Bullet Damage, +1.5 Bullet Stumble Damage, +7.5 Melee Stumble Damage",Paul's Alley,-,
Campaign,Utility,Fortune,Yes,Compound Interest,Team Effects: Each Cleaner gains 5% of thier total Copper in each Saferoom.,Bridge Town (2),-,N/A
Campaign,Offense,Brawn,No (Yes),Confident Killer,When you or your team kills a mutation gain 1% damage (up to 15%) until the end of the level. Only Card holder obtains damage increase,Accomplishment,-,500
Swarm,Offense ,Brawn,No (Yes),Confident Killer,When you or your team kills a mutation gain 1% damage (up to 15%) until the end of the level. Only Card holder obtains damage increase,Available from start,-,N/A
Campaign,Mobility,Discipline ,No,Controlled Movement,+40% Movement Speed while aiming down sights with Sniper Rifles.,Paul's Alley (4),-,N/A
Swarm,Mobility,Discipline ,No,Controlled Movement,+40% Movement Speed while aiming down sights with Sniper Rifles.,Available from start,-,N/A
Campaign,Utility,Fortune,No,Copper Scavenger,"You can sense Nearby Copper, More copper piles spawn",Available from start,,
Corruption,Event,Environment,-,Cost of Avarice,"Copper Piles are replaced by Warped Copper. For each pile picked up, that player's Damage Resistance is reduced by 5%. For every 100 Copper carried by any player. Move Speed, Sprint Speed, and Sprint Efficiency are reduced by 2%.",N/A,-,
Campaign,Ability,Discipline ,No (Yes),Crippling Frequency,Reduce incoming Damage by 1 for nearby teammates for 7 seconds. Gadget Cost: 30 SMG/Pistol Ammo. REPLACES: Offensive Slot,Duffel Bag Reward / Children of the Worm Expansion,-,500
Campaign ,Stat,Discipline,No,Critical Fail,Better luck next time. (Result of a Cursed Key Death),Failed attempt with a Cursed Key,-,N/A
Corruption,Ridden,Cultist,-,Crone,Fires superheated arrows that can cause the target to start burning. Smoldering (Will light a target on fire after several hits. Burning targets take damage over time but can extinguish the flames to reduce severity),N/A,-,N/A
Campaign,Mobility,Reflex,No,Cross Trainers,"+20% Stamina, +20% Stamina Regen, +3% Move Speed, +5 Health",The Crow's Nest,-,500
Swarm,Mobility ,Reflex,No,Cross Trainers,"+20% Stamina, +20% Stamina Regen, +3% Move Speed, +5 Health",Available from start,-,N/A
Corruption,Ridden,Mutation,-,Crushers,Getting crushed is the worst way to die. Attack the Crusher to free your teammates.,N/A,-,N/A
Corruption,Event,Cultist,-,Culist Hordes,Waves of Cultists attack on a timer and additional Bear Traps are spawned.,N/A,Accessory,500
Cleaner,Character,Character,Yes,Dan,"""Prophet"" Dan is Enhanced for a short duration after Cleaners are incapacitated. Strange things happen after reviving Cleaners. Team Effects: +3 Team Damage Resistance and Knockback immunity while reviving Cleaners. Starts with a SCAR, Desert Eagle, and a Smoke Grenade.",Expansion 2 - Children of the Worm,-,N/A
Campaign,Mobility,Reflex,No,Dash,"+5% Move Speed, +5% Sprint Speed",Bridge Town,-,500
Swarm,Mobility,Reflex,No,Dash,"+5% Move Speed, +5% Sprint Speed",Available from start,-,500
Corruption,Event,Trap,-,Deep Wounds,Team Effects: Instantly recieve 20 Trauma Damage. Warped Chest Team Debuff,N/A,-,500
Campaign,Mobility,Brawn,No,Defensive Maneuver (Evasive Action),When you take a hit for 15 or more damage. Gain 25% Damage Resistance for 3 seconds.,The Crow's Nest,-,N/A
Swarm,Mobility,Brawn,No,Defensive Maneuver (Evasive Action),When you take a hit for 15 or more damage. Gain 25% Damage Resistance for 3 seconds.,Available from start,,
Burn,Defense,Burn,Yes,Defensive Upgrade,"Team Effects: Improve the quality of all Bandage, First Aid and Painkiller Accessories.",The Collectors (V.1.000.008),-,500
Campaign,Offense,Brawn,No,Demolitions Expert,"+50% Accessory Damage, -15% Ammo Capacity ",Paul's Alley (2),-,N/A
Cleaner,Character,Cleaner,Yes,Doc,"Doc can heal each teammate for 25 Health once per level. +15% Healing Efficiency. Team Effects: +20% Team Trauma Resistance. Starts with an MP5, Beretta M9, and a Bandage.",Available from Start,-,N/A
Campaign,Offense,Fortune,No,Double Grenade Pouch,+2 Offensive Inventory,Paul's Alley (2),-,N/A
Swarm,Offense,Fortune,No,Double Grenade Pouch,+2 Offensive Inventory,Available from start,-,N/A
Campaign,Defense,Discipline ,No,Down in Front!,While Crouching you neither take nor deal Friendly Fire damage. +10 Health,Paul's Alley (2),-,N/A
Corruption ,Finale,Finale,-,Dr. Rogers' Neighborhood,Hold back the horde to buy time to secure Roger's Research. Act 3 Finale,N/A,-,N/A
Campaign,Utility,Brawn,No,Drone Spotter,"Begin marking nearby Mutations every 7 seconds. Gain 20% chance to negate damage while active. Gadget Cost: 20 Sniper Rifle Ammo. REPLACES: Quick Slot, FRAGILE",Duffel Bag Reward / River of Blood Expansion,-,N/A
Campaign,Defense,Brawn,No,Durable,"+15% Trauma Resistance, +10 Health, +20% Fire Resistance",The Clinic,-,N/A
Swarm,Defense ,Brawn,No,Durable,"+50% Trauma Resistance, +5 Health",Available from start,,
Burn,Offense,Burn,No,Dusty's Customs: Assault Rifle,Grant yourself a higher quality Assault Rifle with random attachments.,Roving Merchants,-,
Burn,Offense,Burn,No,Dusty's Customs: Handgun,Grant yourself a higher quality Handgun with random attachments.,Roving Merchants,,
Burn,Offense,Burn,No,Dusty's Customs: LMG,Grant yourself a higher quality LMG with random attachments.,Roving Merchants,-,500
Burn,Offense,Burn,No,Dusty's Customs: Melee Weapon,Grant yourself a higher quality Melee Weapon with random attachments.,Roving Merchants,-,500
Burn,Offense,Burn,No,Dusty's Customs: Shotgun,Grant yourself a higher quality Shotgun with random attachments.,Roving Merchants,-,N/A
Burn,Offense,Burn,No,Dusty's Customs: SMG,Grant yourself a higher quality SMG with random attachments.,Roving Merchants,-,500
Burn,Offense,Burn,No,Dusty's Customs: Sniper Rifle,Grant yourself a higher quality Sniper Rifle with random attachments.,Roving Merchants,-,N/A
Campaign,Talent,Discipline ,Yes,Emergency Transfusion,"Team Effects: +1 Extra Life. Receive the ability to revive a dead teammate by consuming one of your lives. If you do not have any lives available, give your life for theirs.",Legendary Card Shrine,-,N/A
Campaign,Offense,Brawn,Yes,Empowered Assault,"After you kill a Mutation, the next time you damage a Mutation guranteed to cause them to Stumble. Team Effects: +5% Team Stumble Damage.",Duffel Bag Reward / River of Blood Expansion,-,500
Campaign,Defense,Discipline,No,EMT Bag,+50% Healing Efficiency,The Clinic,-,N/A
Campaign,Mobility ,Discipline ,No,Energy Bar,"+30% Stamina Regeneration, +5 Health",Bridge Town,-,
Swarm,Defense ,Discipline ,No,Energy Bar,"+60% Stamina Regeneration, +5 Health",Available from start,-,
Campaign,Mobility ,Reflex,No,Energy Drink,"+15% Stamina, +25% Weapon Swap Speed, +15% Move Speed while firing, +10% Slow Resistance",The Crow's Nest (2),-,
Swarm,Mobility ,Reflex,No,Energy Drink,"+15% Stamina, +25% Weapon Swap Speed, +15% Move Speed while firing, +10% Slow Resistance",Available from start,-,N/A
Campaign,Offense,Brawn,No,Ether Bomb,"Emit a gas that attracts Ridden to you for 7 seconds, but also slow your movement speed by 50%. Gadget Cost: 50 Rifle Ammo. REPLACES: Support Slot",Duffel Bag Reward / River of Blood Expansion,-,
Cleaner,Character,Cleaner,Yes,Evangelo,"Evangelo can quickly break out of grabs once every 60 Seconds (+75% Breakout Speed). +25% Stamina Regen. Team Effects: +5% Team Movement Speed. Starts with an Uzi, Machete, and a Molotov",Available from Start,-,N/A
Campaign,Defense ,Discipline ,No,Experienced EMT,"When you use a Medical Accessory, the target gains +10% Maximum Health, Stamina, and Stamina Regen until the end of the level.",The Clinic (4),-,500
Swarm,Defense ,Discipline ,No,Experienced EMT,"When you use a Medical Accessory, the target gains +10% Maximum Health, Stamina, and Stamina Regen until the end of the level.",Available from start,-,N/A
Campaign,Talent,Reflex,No (Yes),Experimental Stimulants,Create a cloud that grants 20% Damage and 30% Reload Speed. Gadget Cost: 40 Rifle Ammo. REPLACES: Support Slot,Duffel Bag Reward / Children of the Worm Expansion,-,500
Campaign,Utility,Discipline ,No,Experimental Stun gun,"Enhances Bash to stun nearby enemies. Refreshes after 10 seconds. Gadget Cost: 30 Sniper Rifle Ammo. REPLACES: Quick Slot, FRAGILE (Effects removed after recieving damage)",Duffel Bag Reward / Children of the Worm Expansion,-,N/A
Campaign,Ability,Discipline ,No,Expired T5,"Create a powerful blast that deals 20 Fire Damage to Weakspots. After the initial blast, continue to deal 1 damage per second for 7 seconds. Gadget Cost: 75 Rifle Ammo. REPLACES: Support Slot",Duffel Bag Reward / Children of the Worm Expansion,-,N/A
Corruption,Ridden,Mutation,-,Exploders,Stay away from these two-legged death bombs.,N/A,-,N/A
Campaign,Talent,Brawn,Yes,Explosive Boils,"Team Effects: When your team gets a Precision Kill against a Mutation, a powerful explosion is created that damages nearby Ridden.",Legendary Card Shrine,-,N/A
Corruption ,Curse,Trial of the Worm,-,Extra Lives Reduced,Cleaners permanently lose an Extra Life,N/A,-,N/A
Burn,Defense,Burn,Yes,Extra Padding,Team Effects: Each Cleaner gains +20% Trauma Resistance.,Roving Merchants,,
Campaign,Defense ,Brawn,No,Face Your Fears,Heal 1 Temporary Health whenever you kill a Ridden within 2.5 meters.,The Stilts (3),-,N/A
Swarm,Defense ,Brawn,No,Face your Fears,Heal 1 Temporary Health whenever you kill a Ridden within 2.5 meters.,Available from Start,-,N/A
Campaign,Defense,Fortune ,No,Fanny Pack,"+1 Support Inventory, +15% Trauma Resistance",The Furnace ,-,N/A
Swarm,Defense ,Fortune ,No,Fanny Pack,"+1 Support Inventory, +15% Trauma Resistance",Available from Start,,
